,Longitude,Latitude,name,Coord,County,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Total Crime
0,-122.3298055,48.3937602975452,24 Hour Express Fuel,"48.3937602975452,-122.3298055",Skagit,75160.0,105.0,2.0,24.0,28.0,51.0,2343.0,278.0,1892.0,173.0,7.0,4903.0
1,-120.916225,47.1917122975452,76,"47.1917122975452,-120.916225",Kittitas,24313.0,50.0,0.0,12.0,6.0,32.0,729.0,96.0,602.0,31.0,3.0,1561.0
2,-122.3575768,47.2387038975452,76,"47.2387038975452,-122.3575768",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
3,-122.2913239,48.4352268975452,76,"48.4352268975452,-122.2913239",Skagit,75160.0,105.0,2.0,24.0,28.0,51.0,2343.0,278.0,1892.0,173.0,7.0,4903.0
4,-120.014523,47.8396080975452,76,"47.8396080975452,-120.014523",Chelan,34513.0,62.0,1.0,16.0,10.0,35.0,638.0,66.0,532.0,40.0,1.0,1401.0
5,-122.0973429,47.1395415975452,76,"47.1395415975452,-122.0973429",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
6,-122.5046745,47.2347702975452,76,"47.2347702975452,-122.5046745",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
7,-122.0365967,47.5442952975452,76,"47.5442952975452,-122.0365967",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
8,-122.3241049,47.6060395975452,76,"47.6060395975452,-122.3241049",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
9,-122.1148925,47.6716835975452,76,"47.6716835975452,-122.1148925",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
10,-122.2998584,47.9224274975452,76,"47.9224274975452,-122.2998584",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
11,-122.3739625,48.2412269975452,76,"48.2412269975452,-122.3739625",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
12,-122.3318182,48.3405951975452,76,"48.3405951975452,-122.3318182",Skagit,75160.0,105.0,2.0,24.0,28.0,51.0,2343.0,278.0,1892.0,173.0,7.0,4903.0
13,-122.3410856,48.3408742975452,76,"48.3408742975452,-122.3410856",Skagit,75160.0,105.0,2.0,24.0,28.0,51.0,2343.0,278.0,1892.0,173.0,7.0,4903.0
14,-119.3490955,46.2875508975452,76,"46.2875508975452,-119.3490955",Benton,164317.0,375.0,4.0,83.0,61.0,227.0,3913.0,634.0,3008.0,271.0,26.0,8602.0
15,-119.8600033,47.0829085975452,76,"47.0829085975452,-119.8600033",Grant,22162.0,44.0,0.0,10.0,4.0,30.0,680.0,186.0,421.0,73.0,2.0,1450.0
16,-122.957653,46.7012351975452,76,"46.7012351975452,-122.957653",Lewis,27442.0,83.0,1.0,17.0,20.0,45.0,1072.0,150.0,856.0,66.0,1.0,2311.0
17,-123.0998193,47.2130806975452,76,"47.2130806975452,-123.0998193",Mason,10432.0,53.0,0.0,20.0,5.0,28.0,583.0,66.0,485.0,32.0,1.0,1273.0
18,-122.3223483,48.9203725975452,76,"48.9203725975452,-122.3223483",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
19,-122.4602115,48.7567705975452,76,"48.7567705975452,-122.4602115",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
20,-122.4570005,48.7732270975452,76,"48.7732270975452,-122.4570005",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
21,-122.502472,48.7173990975452,76,"48.7173990975452,-122.502472",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
22,-122.4858024,48.7646144975452,76,"48.7646144975452,-122.4858024",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
23,-122.3203029,47.6251788975452,76,"47.6251788975452,-122.3203029",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
24,-122.2142107,47.3155676975452,76,"47.3155676975452,-122.2142107",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
25,-122.2286604,47.2938204975452,76,"47.2938204975452,-122.2286604",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
26,-122.1077834,48.0029776975452,76,"48.0029776975452,-122.1077834",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
27,-122.3041808,47.6436760975452,76,"47.6436760975452,-122.3041808",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
28,-122.1256246,47.8341683975452,76,"47.8341683975452,-122.1256246",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
