OBJECTID,ZIP,ZIPCODE,COUNTY,SHAPE_Length,SHAPE_Area
1,98031,98031,033,117508.211717736,228012909.329902
2,98032,98032,033,166737.664790727,482675358.003812
3,98033,98033,033,101363.840368587,256674739.916244
4,98034,98034,033,98550.4525085522,272507156.055767
5,98030,98030,033,94351.2648374096,200095358.343955
6,98027,98027,033,255232.065113122,1640576277.8515
7,98038,98038,033,316441.956236576,1649846744.93614
8,98039,98039,033,37222.7293391229,39346824.8167877
9,98040,98040,033,75519.6485093495,175584207.896793
10,98042,98042,033,207993.198902637,762420831.121046
11,98026,98026,061,133289.416884025,258888380.22623
12,98023,98023,033,90832.4300637826,291140883.274286
13,98022,98022,033,735799.755710563,11359799651.4474
14,98047,98047,053,19937.7301869914,19319883.9937422
15,98051,98051,033,211663.338876298,1150005805.3967
16,98052,98052,033,166796.782502935,536057549.922274
17,98053,98053,033,201103.973017281,774000614.898479
18,98021,98021,061,101755.396196584,273011415.671019
19,98020,98020,061,65195.7338755076,143963387.81386
20,98014,98014,033,227524.526919762,1160183701.22749
21,98012,98012,061,110807.677168099,421686538.3219
22,98011,98011,033,70949.0635800093,198270746.976182
23,98010,98010,033,134236.971875757,518248273.369206
24,98036,98036,061,111757.191029963,267202389.915538
25,98037,98037,061,78136.414256245,168863902.482445
26,98029,98029,033,111317.140699137,270983417.615124
27,98028,98028,033,75146.2293478777,173233183.242025
28,98043,98043,061,46970.6911838433,115804610.571911
29,98045,98045,033,632072.889111679,8059174615.57543
30,98024,98024,033,362554.845364591,2181634333.3487
31,98047,98047,033,40407.1032443264,48433350.2011243
32,98022,98022,053,295979.590628901,2507633657.3612
33,98019,98019,033,312688.578226534,3189847388.80233
34,98008,98008,033,93748.3677575754,153801769.104078
35,98101,98101,033,23619.0289324509,14700123.0009113
36,98102,98102,033,37488.7881658688,43221885.6449095
37,98007,98007,033,113480.585858751,115790428.915934
38,98006,98006,033,107698.246424489,322939060.237328
39,98005,98005,033,116409.338329728,211364083.876981
40,98004,98004,033,108762.980059587,201450069.737003
41,98003,98003,033,120498.92087901,317076887.789812
42,98002,98002,033,102448.491013552,205568827.974556
43,98001,98001,033,156155.466030956,532425521.976865
44,98110,98110,035,261622.8892168,757413746.876413
45,98112,98112,033,66321.069337561,88186447.4364204
46,98115,98115,033,77105.1775431034,181355906.773737
47,98116,98116,033,46123.0215350245,81459759.9794616
48,98070,98070,033,272819.684860558,1010295818.72546
49,98072,98072,033,119472.977038056,376794579.658295
50,98072,98072,061,78248.2377576568,151344183.334831
51,98074,98074,033,115554.668283098,327749795.940312
52,98075,98075,033,125889.997805775,290341211.582782
53,98077,98077,033,117061.095351626,419740022.129928
54,98077,98077,061,50110.1270145949,75926072.8957347
55,98087,98087,061,68003.5156373575,156580447.269392
56,98092,98092,033,263990.589319784,1214591236.21155
57,98136,98136,033,52802.8881486811,63195436.0946039
58,98055,98055,033,68049.8857580641,124138931.331482
59,98056,98056,033,92795.375089203,197657193.145665
60,98057,98057,033,85004.5613637618,184711228.955243
61,98092,98092,053,29033.3396629447,31805301.2281497
62,98058,98058,033,174295.939715521,627855679.336734
63,98059,98059,033,145598.077409762,462241546.329598
64,98164,98164,033,1115.52372552449,77740.2427774765
65,98166,98166,033,90590.9890257915,158200262.814661
